Ticker,Security,GICS Sector,GICS Sub-Industry
AAPL,Apple Inc. Common Stock,Technology,Technology
META,Meta Platforms Inc. Class A Common Stock,Technology,Technology
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
NFLX,Netflix Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
MSFT,Microsoft Corporation Common Stock,Technology,Technology
GOOGL,Alphabet Inc. Class A Common Stock,Technology,Technology
GE,GE Aerospace Common Stock,Technology,Technology
GOOG,Alphabet Inc. Class C Capital Stock,Technology,Technology
BAC,Bank of America Corporation Common Stock,Finance,Finance
TSLA,Tesla Inc. Common Stock,Industrials,Industrials
GILD,Gilead Sciences Inc. Common Stock,Health Care,Health Care
DIS,Walt Disney Company (The) Common Stock,Consumer Discretionary,Consumer Discretionary
BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
INTC,Intel Corporation Common Stock,Technology,Technology
JPM,JP Morgan Chase & Co. Common Stock,Finance,Finance
BIIB,Biogen Inc. Common Stock,Health Care,Health Care
XOM,Exxon Mobil Corporation Common Stock,Energy,Energy
C,Citigroup Inc. Common Stock,Finance,Finance
WFC,Wells Fargo & Company Common Stock,Finance,Finance
CMCSA,Comcast Corporation Class A Common Stock,Telecommunications,Telecommunications
JNJ,Johnson & Johnson Common Stock,Health Care,Health Care
PFE,Pfizer Inc. Common Stock,Health Care,Health Care
QCOM,QUALCOMM Incorporated Common Stock,Technology,Technology
V,Visa Inc.,Consumer Discretionary,Consumer Discretionary
MU,Micron Technology Inc. Common Stock,Technology,Technology
CVX,Chevron Corporation Common Stock,Energy,Energy
CSCO,Cisco Systems Inc. Common Stock (DE),Telecommunications,Telecommunications
WMT,Walmart Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
PG,Procter & Gamble Company (The) Common Stock,Consumer Discretionary,Consumer Discretionary
ORCL,Oracle Corporation Common Stock,Technology,Technology
SLB,SLB Limited Common Shares,Energy,Energy
BRK-B,Berkshire Hathaway Inc.,Unavailable,Unavailable
MCD,McDonald's Corporation Common Stock,Consumer Discretionary,Consumer Discretionary
BA,Boeing Company (The) Common Stock,Industrials,Industrials
HAL,Halliburton Company Common Stock,Energy,Energy
HD,Home Depot Inc. (The) Common Stock,Consumer Discretionary,Consumer Discretionary
MRK,Merck & Company Inc. Common Stock (new),Health Care,Health Care
T,AT&T Inc.,Telecommunications,Telecommunications
CMG,Chipotle Mexican Grill Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
DAL,Delta Air Lines Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
GS,Goldman Sachs Group Inc. (The) Common Stock,Finance,Finance
IBM,International Business Machines Corporation Common Stock,Technology,Technology
AXP,American Express Company Common Stock,Finance,Finance
KO,Coca-Cola Company (The) Common Stock,Consumer Staples,Consumer Staples
ABBV,AbbVie Inc. Common Stock,Health Care,Health Care
UNH,UnitedHealth Group Incorporated Common Stock (DE),Health Care,Health Care
UNP,Union Pacific Corporation Common Stock,Industrials,Industrials
AMGN,Amgen Inc. Common Stock,Health Care,Health Care
GM,General Motors Company Common Stock,Industrials,Industrials
VZ,Verizon Communications Inc. Common Stock,Telecommunications,Telecommunications
EBAY,eBay Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
REGN,Regeneron Pharmaceuticals Inc. Common Stock,Health Care,Health Care
DD,DuPont de Nemours Inc. Common Stock,Industrials,Industrials
AIG,American International Group Inc. New Common Stock,Finance,Finance
